proba_class_0,proba_class_1,proba_class_2,proba_class_3,proba_class_4,proba_class_5,proba_class_6,proba_class_7,proba_class_8,proba_class_9,proba_class_10,proba_class_11,target
0.0,0.034084,0.322581,0.462568,0.178941,0.001826,0.000366,0.035165,0.29304,0.355678,0.313187,0.002564,1
0.0,0.009251,0.152636,0.476411,0.355227,0.006475,0.001415,0.025,0.207075,0.374528,0.386321,0.00566,1
0.001745,0.029668,0.319372,0.478185,0.168121,0.002909,0.000713,0.038146,0.293048,0.357932,0.308021,0.002139,1
0.0,0.025098,0.320134,0.475739,0.177914,0.001115,0.000697,0.035204,0.300105,0.342977,0.317881,0.003137,1
0.0,0.012265,0.219133,0.479967,0.286999,0.001635,0.000436,0.033115,0.240959,0.374728,0.347712,0.00305,1
0.0,0.025965,0.29494,0.454061,0.221704,0.003329,0.000385,0.031575,0.261456,0.362726,0.340393,0.003466,1
0.0,0.025175,0.262937,0.483916,0.224476,0.003497,0.001187,0.029284,0.253265,0.372378,0.341512,0.002374,1
0.001468,0.01909,0.215859,0.506608,0.251836,0.00514,0.000814,0.028083,0.25641,0.356532,0.354904,0.003256,1
0.000537,0.024181,0.324019,0.480387,0.168726,0.002149,0.000681,0.032368,0.299148,0.345486,0.319932,0.002385,1
0.000863,0.00604,0.195858,0.497843,0.289905,0.009491,0.0,0.03166,0.220715,0.385346,0.3564,0.00588,1
0.0,0.017015,0.218097,0.50348,0.257541,0.003867,0.000844,0.026993,0.249262,0.366512,0.354281,0.002109,1
0.003968,0.005952,0.128968,0.433532,0.409722,0.017857,0.0,0.022716,0.211852,0.376296,0.38321,0.005926,1
0.000633,0.035443,0.301266,0.459494,0.198101,0.005063,0.001127,0.034548,0.276005,0.348104,0.33834,0.001878,1
0.001074,0.037236,0.428571,0.423917,0.107769,0.001432,0.0,0.060772,0.402135,0.337531,0.198467,0.001095,1
0.0,0.052571,0.45165,0.408289,0.085572,0.001919,0.00114,0.062999,0.459236,0.285348,0.190137,0.00114,1
0.000343,0.030542,0.427248,0.427248,0.112903,0.001716,0.00214,0.070875,0.392886,0.352768,0.179995,0.001337,1
0.000987,0.028628,0.390918,0.441264,0.134255,0.003949,0.000652,0.031606,0.289997,0.358423,0.317367,0.001955,1
0.000444,0.042222,0.416,0.423111,0.113778,0.004444,0.000923,0.04059,0.346863,0.345326,0.263838,0.00246,1
0.000996,0.046133,0.466976,0.397942,0.08762,0.000332,0.003399,0.067712,0.431373,0.346144,0.150327,0.001046,1
0.0,0.061165,0.500324,0.354693,0.082524,0.001294,0.004363,0.077259,0.513347,0.284908,0.11884,0.001283,1
0.000374,0.052415,0.459379,0.408836,0.078622,0.000374,0.000281,0.066835,0.465038,0.278573,0.188149,0.001123,1
0.000396,0.04711,0.448535,0.407759,0.094616,0.001584,0.000289,0.066493,0.427869,0.299509,0.204973,0.000867,1
0.000836,0.048495,0.417224,0.438127,0.0949,0.000418,0.000596,0.053008,0.390113,0.323407,0.231388,0.001489,1
